№,Секунда,Микросекунда
1,36,111424
2,36,121922
3,36,132146
4,36,142310
5,36,152847
6,36,163149
7,36,173744
8,36,183859
9,36,194386
10,36,205092
11,36,215719
12,36,226154
13,36,236623
14,36,247311
15,36,257788
16,36,268179
17,36,278676
18,36,289137
19,36,299838
20,36,310340
21,36,320882
22,36,331345
23,36,341810
24,36,352129
25,36,362855
26,36,373607
27,36,384722
28,36,395760
29,36,406199
30,36,416688
31,36,426843
32,36,437101
33,36,447528
34,36,458100
35,36,468408
36,36,478711
37,36,489347
38,36,499816
39,36,510543
40,36,521178
41,36,531526
42,36,542180
43,36,552476
44,36,563019
45,36,573500
46,36,585520
47,36,596206
48,36,607947
49,36,618545
50,36,628932
51,36,639648
52,36,650043
53,36,660647
54,36,671041
55,36,681314
56,36,691837
57,36,702041
58,36,712238
59,36,722376
60,36,732966
61,36,743570
62,36,754185
63,36,764585
64,36,774784
65,36,785469
66,36,795902
67,36,806492
68,36,816869
69,36,827326
70,36,837512
71,36,848238
72,36,858515
73,36,869441
74,36,880458
75,36,891048
76,36,901437
77,36,912165
78,36,923258
79,36,934044
80,36,944806
81,36,955563
82,36,965844
83,36,977033
84,36,987932
85,36,998479
86,37,8920
87,37,19288
88,37,29645
89,37,40339
90,37,50770
91,37,61223
92,37,71698
93,37,82316
94,37,93130
95,37,103402
96,37,114191
97,37,124679
98,37,135103
99,37,145707
100,37,156278
101,37,166894
102,37,177283
103,37,187801
104,37,198104
105,37,208659
106,37,219584
107,37,230239
108,37,240619
109,37,251177
110,37,261806
111,37,272568
112,37,284033
113,37,294541
114,37,305069
115,37,315694
116,37,326225
117,37,336869
118,37,347531
119,37,357990
120,37,368429
121,37,379000
122,37,389929
123,37,400459
124,37,411023
125,37,421522
126,37,432243
127,37,442719
128,37,453277
129,37,463838
130,37,474268
131,37,484728
132,37,495408
133,37,505865
134,37,517181
135,37,527556
136,37,539341
137,37,549971
138,37,560669
139,37,570981
140,37,581332
141,37,592400
142,37,602820
143,37,613524
144,37,624026
145,37,634192
146,37,644605
147,37,655594
148,37,666066
149,37,676421
150,37,686890
151,37,697288
152,37,707582
153,37,718588
154,37,729100
155,37,739819
156,37,750411
157,37,760600
158,37,771111
159,37,781566
160,37,791888
161,37,802144
162,37,812459
163,37,822939
164,37,833627
165,37,843996
166,37,854415
167,37,864887
168,37,875543
169,37,886391
170,37,897208
171,37,907657
172,37,918761
173,37,929284
174,37,939637
175,37,950208
176,37,960611
177,37,971127
178,37,982044
179,37,992347
180,38,2700
181,38,13027
182,38,23595
183,38,34042
184,38,44352
185,38,55323
186,38,66312
187,38,77226
188,38,87781
189,38,98349
190,38,108704
191,38,119258
192,38,129691
193,38,140122
194,38,150720
195,38,161228
196,38,171994
197,38,183761
198,38,194592
199,38,204905
200,38,215485
201,38,225871
202,38,236167
203,38,246760
204,38,257761
205,38,268250
206,38,278622
207,38,289144
208,38,300357
209,38,310907
210,38,323436
211,38,333850
212,38,344273
213,38,354926
214,38,365290
215,38,375920
216,38,386380
217,38,396511
218,38,407045
219,38,417898
220,38,428361
221,38,439056
222,38,449352
223,38,459533
224,38,469965
225,38,480460
226,38,490856
227,38,501712
228,38,512279
229,38,523066
230,38,533896
231,38,544475
232,38,555150
233,38,565465
234,38,575827
235,38,586226
236,38,596787
237,38,607440
238,38,618339
239,38,628917
240,38,639374
241,38,649879
242,38,660366
243,38,670610
244,38,680890
245,38,691148
246,38,701334
247,38,712606
248,38,723215
249,38,733481
250,38,743753
251,38,754191
252,38,764723
253,38,775130
254,38,785305
255,38,795892
256,38,806249
257,38,816950
258,38,827660
259,38,837915
260,38,849177
261,38,859704
262,38,870322
263,38,880742
264,38,891335
265,38,901774
266,38,912162
267,38,922719
268,38,933631
269,38,944281
270,38,954673
271,38,965327
272,38,976081
273,38,986682
274,38,997442
275,39,8307
276,39,18557
277,39,29037
278,39,39490
279,39,49956
280,39,60247
281,39,70519
282,39,80937
283,39,91514
284,39,102116
285,39,112643
286,39,123266
287,39,133924
288,39,144280
289,39,154526
290,39,165103
291,39,175721
292,39,186649
293,39,197093
294,39,207447
295,39,217666
296,39,228265
297,39,238984
298,39,249640
299,39,260187
300,39,270599
